sample	extraction	gene	timeline	genotype	rep	genome	region	cov	event_count	dcs_count	freq	freq_floor	freq_floor_log
pt_MSH1CS3372_mut_3	pt	MSH1CS3372	old	mut	3	plastid	tRNA	1339993	4	11	8.21E-06	9.21E-06	-5.03574037
pt_MSH1CS3372_mut_3	pt	MSH1CS3372	old	mut	3	plastid	CDS	41218766	76	129	3.13E-06	4.13E-06	-5.384049948
pt_MSH1CS3372_mut_3	pt	MSH1CS3372	old	mut	3	plastid	intron	9584077	11	27	2.82E-06	3.82E-06	-5.417936637
pt_MSH1CS3372_mut_3	pt	MSH1CS3372	old	mut	3	plastid	rRNA	6382012	27	32	5.01E-06	6.01E-06	-5.221125528
pt_MSH1CS3372_wild_1	pt	MSH1CS3372	old	wild	1	plastid	intergenic	20239237	0	0	0	1.00E-08	-8
pt_MSH1CS3372_wild_1	pt	MSH1CS3372	old	wild	1	plastid	tRNA	1351791	1	1	7.40E-07	7.50E-07	-6.124938737
pt_MSH1CS3372_wild_1	pt	MSH1CS3372	old	wild	1	plastid	CDS	43218033	0	0	0	1.00E-08	-8
pt_MSH1CS3372_wild_1	pt	MSH1CS3372	old	wild	1	plastid	intron	9577602	0	0	0	1.00E-08	-8
pt_MSH1CS3372_wild_1	pt	MSH1CS3372	old	wild	1	plastid	rRNA	6005385	0	0	0	1.00E-08	-8
pt_MSH1CS3372_wild_2	pt	MSH1CS3372	old	wild	2	plastid	intergenic	19727689	0	0	0	1.00E-08	-8
pt_MSH1CS3372_wild_2	pt	MSH1CS3372	old	wild	2	plastid	tRNA	1306419	0	0	0	1.00E-08	-8
pt_MSH1CS3372_wild_2	pt	MSH1CS3372	old	wild	2	plastid	CDS	41832988	0	0	0	1.00E-08	-8
pt_MSH1CS3372_wild_2	pt	MSH1CS3372	old	wild	2	plastid	intron	9271521	0	0	0	1.00E-08	-8
pt_MSH1CS3372_wild_2	pt	MSH1CS3372	old	wild	2	plastid	rRNA	5501984	0	0	0	1.00E-08	-8
pt_MSH1CS3372_wild_3	pt	MSH1CS3372	old	wild	3	plastid	intergenic	23359378	0	0	0	1.00E-08	-8
pt_MSH1CS3372_wild_3	pt	MSH1CS3372	old	wild	3	plastid	tRNA	1554594	0	0	0	1.00E-08	-8
pt_MSH1CS3372_wild_3	pt	MSH1CS3372	old	wild	3	plastid	CDS	48956749	3	3	6.13E-08	7.13E-08	-7.14691047
pt_MSH1CS3372_wild_3	pt	MSH1CS3372	old	wild	3	plastid	intron	11229699	1	1	8.90E-08	9.90E-08	-7.004364805
pt_MSH1CS3372_wild_3	pt	MSH1CS3372	old	wild	3	plastid	rRNA	6701725	0	0	0	1.00E-08	-8
pt_MSH1SALK046763_wild_1	pt	MSH1SALK046763	old	wild	1	plastid	intergenic	14431070	0	0	0	1.00E-08	-8
pt_MSH1SALK046763_wild_1	pt	MSH1SALK046763	old	wild	1	plastid	tRNA	951792	0	0	0	1.00E-08	-8
pt_MSH1SALK046763_wild_1	pt	MSH1SALK046763	old	wild	1	plastid	CDS	30484905	0	0	0	1.00E-08	-8
pt_MSH1SALK046763_wild_1	pt	MSH1SALK046763	old	wild	1	plastid	intron	6746589	1	1	1.48E-07	1.58E-07	-6.801342913
pt_MSH1SALK046763_wild_1	pt	MSH1SALK046763	old	wild	1	plastid	rRNA	3996452	0	0	0	1.00E-08	-8
pt_MSH1SALK046763_wild_2	pt	MSH1SALK046763	old	wild	2	plastid	intergenic	16403269	0	0	0	1.00E-08	-8
pt_MSH1SALK046763_wild_2	pt	MSH1SALK046763	old	wild	2	plastid	tRNA	1063929	0	0	0	1.00E-08	-8
pt_MSH1SALK046763_wild_2	pt	MSH1SALK046763	old	wild	2	plastid	CDS	34375108	0	0	0	1.00E-08	-8
pt_MSH1SALK046763_wild_2	pt	MSH1SALK046763	old	wild	2	plastid	intron	7701648	0	0	0	1.00E-08	-8
pt_MSH1SALK046763_wild_2	pt	MSH1SALK046763	old	wild	2	plastid	rRNA	4400045	0	0	0	1.00E-08	-8
pt_MSH1SALK046763_wild_3	pt	MSH1SALK046763	old	wild	3	plastid	intergenic	16648931	4	14	8.41E-07	8.51E-07	-6.07007044
pt_MSH1SALK046763_wild_3	pt	MSH1SALK046763	old	wild	3	plastid	tRNA	1094658	0	0	0	1.00E-08	-8
pt_MSH1SALK046763_wild_3	pt	MSH1SALK046763	old	wild	3	plastid	CDS	34862082	5	15	4.30E-07	4.40E-07	-6.356547324
pt_MSH1SALK046763_wild_3	pt	MSH1SALK046763	old	wild	3	plastid	intron	7824645	1	1	1.28E-07	1.38E-07	-6.860120914
pt_MSH1SALK046763_wild_3	pt	MSH1SALK046763	old	wild	3	plastid	rRNA	4420386	4	14	3.17E-06	3.18E-06	-5.49757288
pt_Pol1A_wild_1	pt	Pol1A	old	wild	1	plastid	intergenic	24455253	1	1	4.09E-08	5.09E-08	-7.293282218
pt_Pol1A_wild_1	pt	Pol1A	old	wild	1	plastid	tRNA	1660678	0	0	0	1.00E-08	-8
pt_Pol1A_wild_1	pt	Pol1A	old	wild	1	plastid	CDS	52357015	1	1	1.91E-08	2.91E-08	-7.536107011
pt_Pol1A_wild_1	pt	Pol1A	old	wild	1	plastid	intron	11828265	0	0	0	1.00E-08	-8
pt_Pol1A_wild_1	pt	Pol1A	old	wild	1	plastid	rRNA	7901445	0	0	0	1.00E-08	-8
pt_Pol1A_wild_2	pt	Pol1A	old	wild	2	plastid	intergenic	34265606	0	0	0	1.00E-08	-8
pt_Pol1A_wild_2	pt	Pol1A	old	wild	2	plastid	tRNA	2282922	0	0	0	1.00E-08	-8
pt_Pol1A_wild_2	pt	Pol1A	old	wild	2	plastid	CDS	73866859	3	3	4.06E-08	5.06E-08	-7.295849483
pt_Pol1A_wild_2	pt	Pol1A	old	wild	2	plastid	intron	16419465	0	0	0	1.00E-08	-8
pt_Pol1A_wild_2	pt	Pol1A	old	wild	2	plastid	rRNA	10020381	1	1	9.98E-08	1.10E-07	-6.95939766
pt_Pol1A_wild_3	pt	Pol1A	old	wild	3	plastid	intergenic	20874738	0	0	0	1.00E-08	-8
pt_Pol1A_wild_3	pt	Pol1A	old	wild	3	plastid	tRNA	1956164	0	0	0	1.00E-08	-8
pt_Pol1A_wild_3	pt	Pol1A	old	wild	3	plastid	CDS	59775378	2	2	3.35E-08	4.35E-08	-7.361510743
pt_Pol1A_wild_3	pt	Pol1A	old	wild	3	plastid	intron	12507244	0	0	0	1.00E-08	-8
pt_Pol1A_wild_3	pt	Pol1A	old	wild	3	plastid	rRNA	11643915	0	0	0	1.00E-08	-8
pt_Pol1B_wild_1	pt	Pol1B	old	wild	1	plastid	intergenic	7471350	0	0	0	1.00E-08	-8
pt_Pol1B_wild_1	pt	Pol1B	old	wild	1	plastid	tRNA	481395	0	0	0	1.00E-08	-8
pt_Pol1B_wild_1	pt	Pol1B	old	wild	1	plastid	CDS	15210352	1	1	6.57E-08	7.57E-08	-7.12090412
pt_Pol1B_wild_1	pt	Pol1B	old	wild	1	plastid	intron	3420167	0	0	0	1.00E-08	-8
pt_Pol1B_wild_1	pt	Pol1B	old	wild	1	plastid	rRNA	1946539	0	0	0	1.00E-08	-8
pt_Pol1B_wild_2	pt	Pol1B	old	wild	2	plastid	intergenic	30007619	2	2	6.66E-08	7.66E-08	-7.11577123
pt_Pol1B_wild_2	pt	Pol1B	old	wild	2	plastid	tRNA	1983333	0	0	0	1.00E-08	-8
pt_Pol1B_wild_2	pt	Pol1B	old	wild	2	plastid	CDS	62567538	1	1	1.60E-08	2.60E-08	-7.585026652
pt_Pol1B_wild_2	pt	Pol1B	old	wild	2	plastid	intron	14014462	0	0	0	1.00E-08	-8
pt_Pol1B_wild_2	pt	Pol1B	old	wild	2	plastid	rRNA	7932294	0	0	0	1.00E-08	-8
pt_Pol1B_wild_3	pt	Pol1B	old	wild	3	plastid	intergenic	6026897	1	1	1.66E-07	1.76E-07	-6.754487332
pt_Pol1B_wild_3	pt	Pol1B	old	wild	3	plastid	tRNA	394147	0	0	0	1.00E-08	-8
pt_Pol1B_wild_3	pt	Pol1B	old	wild	3	plastid	CDS	12303940	0	0	0	1.00E-08	-8
pt_Pol1B_wild_3	pt	Pol1B	old	wild	3	plastid	intron	2815224	0	0	0	1.00E-08	-8
pt_Pol1B_wild_3	pt	Pol1B	old	wild	3	plastid	rRNA	1597032	0	0	0	1.00E-08	-8
pt_RecA3CS872520_wild_1	pt	RecA3CS872520	old	wild	1	plastid	intergenic	44488513	3	3	6.74E-08	7.74E-08	-7.111259039
pt_RecA3CS872520_wild_1	pt	RecA3CS872520	old	wild	1	plastid	tRNA	2975146	0	0	0	1.00E-08	-8
pt_RecA3CS872520_wild_1	pt	RecA3CS872520	old	wild	1	plastid	CDS	96168009	0	0	0	1.00E-08	-8
pt_RecA3CS872520_wild_1	pt	RecA3CS872520	old	wild	1	plastid	intron	21351380	2	2	9.37E-08	1.04E-07	-6.984221244
pt_RecA3CS872520_wild_1	pt	RecA3CS872520	old	wild	1	plastid	rRNA	12797224	1	1	7.81E-08	8.81E-08	-7.055024092
pt_RecA3CS872520_wild_2	pt	RecA3CS872520	old	wild	2	plastid	intergenic	38909201	0	0	0	1.00E-08	-8
pt_RecA3CS872520_wild_2	pt	RecA3CS872520	old	wild	2	plastid	tRNA	2789430	0	0	0	1.00E-08	-8
pt_RecA3CS872520_wild_2	pt	RecA3CS872520	old	wild	2	plastid	CDS	90168938	1	1	1.11E-08	2.11E-08	-7.675717545
pt_RecA3CS872520_wild_2	pt	RecA3CS872520	old	wild	2	plastid	intron	19480911	0	0	0	1.00E-08	-8
pt_RecA3CS872520_wild_2	pt	RecA3CS872520	old	wild	2	plastid	rRNA	13259562	0	0	0	1.00E-08	-8
pt_RecA3CS872520_wild_3	pt	RecA3CS872520	old	wild	3	plastid	intergenic	43973403	1	1	2.27E-08	3.27E-08	-7.485452247
pt_RecA3CS872520_wild_3	pt	RecA3CS872520	old	wild	3	plastid	tRNA	3196888	2	2	6.26E-07	6.36E-07	-6.196542884
pt_RecA3CS872520_wild_3	pt	RecA3CS872520	old	wild	3	plastid	CDS	103261476	2	2	1.94E-08	2.94E-08	-7.53165267
pt_RecA3CS872520_wild_3	pt	RecA3CS872520	old	wild	3	plastid	intron	22446734	0	0	0	1.00E-08	-8
pt_RecA3CS872520_wild_3	pt	RecA3CS872520	old	wild	3	plastid	rRNA	14433292	0	0	0	1.00E-08	-8
pt_UNG_wild_1	pt	UNG	old	wild	1	plastid	intergenic	27405198	0	0	0	1.00E-08	-8
pt_UNG_wild_1	pt	UNG	old	wild	1	plastid	tRNA	2155846	0	0	0	1.00E-08	-8
pt_UNG_wild_1	pt	UNG	old	wild	1	plastid	CDS	68681351	5	5	7.28E-08	8.28E-08	-7.081969663
pt_UNG_wild_1	pt	UNG	old	wild	1	plastid	intron	14611433	0	0	0	1.00E-08	-8
pt_UNG_wild_1	pt	UNG	old	wild	1	plastid	rRNA	11405024	0	0	0	1.00E-08	-8
pt_UNG_wild_2	pt	UNG	old	wild	2	plastid	intergenic	24760981	0	0	0	1.00E-08	-8
pt_UNG_wild_2	pt	UNG	old	wild	2	plastid	tRNA	2024397	0	0	0	1.00E-08	-8
pt_UNG_wild_2	pt	UNG	old	wild	2	plastid	CDS	63104776	2	2	3.17E-08	4.17E-08	-7.379863945
pt_UNG_wild_2	pt	UNG	old	wild	2	plastid	intron	13439894	0	0	0	1.00E-08	-8
pt_UNG_wild_2	pt	UNG	old	wild	2	plastid	rRNA	11409820	1	1	8.76E-08	9.76E-08	-7.010550182
pt_UNG_wild_3	pt	UNG	old	wild	3	plastid	intergenic	19851624	0	0	0	1.00E-08	-8
pt_UNG_wild_3	pt	UNG	old	wild	3	plastid	tRNA	1624045	0	0	0	1.00E-08	-8
pt_UNG_wild_3	pt	UNG	old	wild	3	plastid	CDS	50684728	2	2	3.95E-08	4.95E-08	-7.305394801
pt_UNG_wild_3	pt	UNG	old	wild	3	plastid	intron	10811603	0	0	0	1.00E-08	-8
pt_UNG_wild_3	pt	UNG	old	wild	3	plastid	rRNA	9515084	0	0	0	1.00E-08	-8
